amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	number-of-items	item-status	tax-collection-model	tax-collection-responsible-party	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	payment-method-details	is-business-order	purchase-order-number	price-designation	customized-url	customized-page	signature-confirmation-recommended	buyer-identification-number	buyer-identification-type 
701-9027812-0967448	701-9027812-0967448	2025-06-24T17:04:27+00:00	2025-06-28T02:58:13+00:00	Shipped	Amazon	Amazon.com.mx			Standard	Cheetos Chester Cheetah - Disfraz de forro polar para hombre, Naranja/Blanco, Medium	ChesterCheetosSuit-FBA-M	B0B8FZZ59X		Shipped			1	MXN	652.34								MONTERREY	NUEVO LEON	64000	MX		CreditCard	true					false		
701-4542361-6227426		2025-06-30T23:06:36+00:00	2025-07-01T17:11:21+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Expedited	Global Wayne's World Motley Crue Band Logo Adult White T-Shirt (Adult X-Large)	waynesworld002-XL	B00FNTNNES	1	Shipped			1	CAD	37.69		23.9						Fort Saskatchewan	Alberta	T8L 0A5	CA		Standard	false					false		
701-5568171-9250647		2025-06-30T21:51:02+00:00	2025-07-23T17:33:55+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Always Sunny In Philadelphia It's Gruesome Twosome Charlie & Frank Adult T-Shirt (Large) Yellow	alsunny021-L	B0041SX7MA	1	Shipped			1	CAD	26.03		9.39						Smithers	British Columbia	V0J2N0	CA		Standard	false					false		
702-3164043-9700231		2025-06-30T20:37:08+00:00	2025-07-01T17:10:50+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Karate Movie Mr Myagi Daniel Movie Headband Halloween Costume Cosplay	karateheadband1	B09F7VYMP9	1	Shipped			1	CAD	20.44		9.39						Mississauga	Ontario	L5M 5C5	CA		Standard	false					false		
702-6907539-6421840		2025-06-30T19:18:09+00:00	2025-07-01T17:04:37+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	TV Store Hulk Hogan Hulkamania Complete Costume Set (Adult X-Large, Red Sunglasses/Yellow Bandana)	hulkhogancostumesetREDsunYELban-XL	B005N02EKQ	1	Shipped			1	CAD	105.01		9.39						Cambridge	Ontario	N3H 4Y2	CA		Standard	false					false		
701-3816089-3581019		2025-06-30T18:26:00+00:00	2025-07-01T21:09:30+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Costume Agent Suicide Squad Harley Quinn Accessory Glove	ssharleyquinnglove	B01MF4T4TE	1	Shipped			1	CAD	18.78		9.39						Alliston	Ontario	L9R 0R3	CA		Standard	false					false		
701-5432637-8034624		2025-06-30T17:52:35+00:00	2025-07-01T17:04:36+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Greatest American Hero Red Adult Costume Set (Adult X-Large)	greatcostume001-XL	B00G2EVOAS	1	Shipped			1	CAD	57.93		9.39						Hagersville	Ontario	N0A 1H0	CA		Standard	false					false		
701-7406836-4978638		2025-06-30T17:19:55+00:00	2025-06-30T18:38:58+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	Green Lantern The Logo with Striped Sleeves Green Adult T-Shirt Tee (Adult Large)	greenlantern001stripes-L	B005C510DE	1	Shipped			1	CAD	32.11		9.39						St Thomas	Ontario	N5R6E8	CA		Standard	false					false		
701-6548157-4657808		2025-06-30T14:35:22+00:00	2025-07-18T17:17:07+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Expedited	Toy Story Buzz Lightyear Astronaut Costume White Adult T-Shirt Tee Small	toystory006-S	B004498FGE	1	Shipped			1	CAD	28.93		23.9						London	Ontario	N6K 1M5	CA		Standard	false					false		
702-4132534-8395437		2025-06-30T04:41:43+00:00	2025-06-30T16:10:44+00:00	Shipped	Merchant	Amazon.ca	WebsiteOrderChannel		Standard	MASH Cadet Hat Green	mashh002	B01M4F96XC	1	Shipped			1	CAD	32.28		9.39						Calgary	Alberta	T2E 6N6	CA		Standard	false					false		
