sku,current_price,current_inventory,asin
100541-JungleCruiseHat,17.95,424,B08FRRT4LJ
10056227-DuffBeerShirt-M,19.95,8,B07WW7NYD4
10056227-DuffBeerShirt-S,19.95,16,B07WS1N3WC
10056227-DuffBeerShirt-XXL,19.95,15,B07WP5X8WQ
10056227-DuffBeerShirt-XXXL,19.95,29,B07WS1JPC5
10056593-PowerRangerJuniors-Blue-L,22.95,77,B07XKD22D3
10056593-PowerRangerJuniors-Blue-M,22.95,65,B07XGNB89M
10056593-PowerRangerJuniors-Blue-S,22.95,53,B07XHP18PW
10056593-PowerRangerJuniors-Blue-XL,22.95,39,B07XJ81Y99
10056593-PowerRangerJuniors-Blue-XXL,22.95,39,B07XKBXWK7
10056593-PowerRangerJuniors-Red-L,22.95,62,B07XMFGB6R
10056593-PowerRangerJuniors-Red-M,22.95,64,B07XMF7JGK
10056593-PowerRangerJuniors-Red-S,22.95,55,B07XKDCSD7
10056593-PowerRangerJuniors-Red-XL,22.95,56,B07XMF23L3
10056593-PowerRangerJuniors-Red-XXL,22.95,38,B07XJ81LV5
10056593-PowerRangerJuniors-Yellow-L,22.95,51,B07XSLLX6W
10056593-PowerRangerJuniors-Yellow-M,22.95,84,B07XSDW8TW
10056593-PowerRangerJuniors-Yellow-XL,22.95,45,B07XSB9N4N
10056593-PowerRangerJuniors-Yellow-XXL,22.95,49,B07XSKWVDM
100576BLACK-2XL,75.95,15,B0DJ1X77KN
100576BLACK-L,72.95,476,B01LBRLB2G
100576BLACK-M,75.95,446,B01LBRLGPS
100576BLACK-S,69.95,178,B01LBRLFSQ
100576BLACK-XL,75.95,62,B01LBRLEX2
100576BROWN-2XL,75.95,51,B0DJ1VB2HF
100576BROWN-L,69.95,145,B01LBRLA6S
100576BROWN-M,69.95,568,B01LBRLC0W
100576BROWN-S,69.95,114,B01LBRL97I
100576BROWN-XL,69.95,242,B01LBRLDX8
100577TAN-L,69.95,188,B0DD92PCWM
100577TAN-M,69.95,188,B0DD92NWMB
100577TAN-S,69.95,86,B0DD9KY6QR
100577TAN-XL,69.95,3,B0DD8ZGSFS
100578-SuperheroGothamBoots-L,76.95,191,B01LBRLBJE
100578-SuperheroGothamBoots-M,76.95,251,B01LBRL9EG
100578-SuperheroGothamBoots-S,76.95,103,B01LBRLAG8
100578-SuperheroGothamBoots-XL,76.95,32,B01LBRLC98
100581-CousinEddieShoe-10,69.95,136,B09HLCWZDX
100581-CousinEddieShoe-11,69.95,82,B09HLB9FHC
100581-CousinEddieShoe-12,69.95,86,B09HL8VSP3
100581-CousinEddieShoe-13,69.95,58,B09HLBM8MG
100581-CousinEddieShoe-14,69.95,70,B0CYCQR9N9
100581-CousinEddieShoe-8,69.95,16,B09HL9MPTH
100581-CousinEddieShoe-9,69.95,61,B09HLBNXV6
100584-SheriffBoots-10/11,63.95,105,B07WH3VG9L
100584-SheriffBoots-12/13,59.95,103,B07WDYN64G
100584-SheriffBoots-4/5,49.95,112,B07WJ73X34
100584-SheriffBoots-6/7,49.95,318,B07WG3WN25
100584-SheriffBoots-8/9,59.95,23,B07WK9WS7N
100585-MoonBoots-4/5,48.95,23,B07WK9YKGF
100585-MoonBoots-6/7,48.95,285,B07WK7P751
100586-DapperTortoiseBrownGlasses,14.95,1088,B07WNY4S32
100587-WideSquareIntellegentGlasses,7.95,599,B07WW22M7P
100588-WayfairGlasses,7.95,460,B07X3L81LH
100589-BottomHalfSemiRimlessGlasses,14.95,138,B07WW21L8L
100593-GoldAviatorGlasses,14.95,350,B07WF8XMHN
100594-CyclopseFuturisticGlasses,7.95,911,B07WM1C9FT
100595-GothicVampireRedGlasses,9.95,476,B07WD57RQV
100596-GothicVampirePurpleGlasses,14.95,378,B07WCQ561P
100597-CircleSpecsGlasses,9.95,1084,B07WJHVL63
100598-MountaineeringVampireGlasses,14.95,258,B07WM66B8C
100599-AnimeIntellegentPersonaGlasses,14.95,1180,B07WRSQ3TQ
100600-DFrameBlackFrameGlasses,7.95,576,B07WCCMYKC
100601-DFrameTortoiseFrameGlasses,7.95,593,B07WSXWXK2
100602-ClubMasterSunglasses,7.95,790,B07WX2BBDR
100603-RetroFlatTopVintageSunGlasses,7.95,297,B07W4XMFCD
100604-GoldFullRimAviatorReadingGlasses,12.95,76,B07WRSPHLH
100605-MorpheusGlasses,14.95,1089,B07WW23C1X
100606-SemiRimlessYellowGlasses,9.95,1041,B07WTXJYVT
100607-TheWorkingManGlasses,9.95,3938,B07Z5G1QJ5
100608-IronSpiderGlasses,14.95,1,B07WNY4M9T
100608-IronSpiderGlasses-Black,9.95,2311,B07WNY52LH
100608-IronSpiderGlasses-Clear,9.95,1216,B07WRSQDRQ
100608-IronSpiderGlasses-DarkBlue,9.95,1490,B07WRSPTDT
100608-IronSpiderGlasses-LightBlue,9.95,1012,B07WWZ8NKZ
10063-SnowGlobes,14.95,1,B077HYYKRH
10068387-BuzzPajamaSet,43.95,1,B08J8DD8RV
100704-GriswoldInflatableCar,73.99,34,B09JGTKRFQ
100705-LegLampInflatable,59.95,529,B09JGT16LQ
100769-3DPinkBunnySocks,14.95,41,B09HDCT1XP
100950-CowboyChaps,39.95,397,B07VLJD2N6
100950-CowboyChaps-4-6,19.95,88,B0CL5F44Y7
100950-CowboyChaps-8-12,19.95,75,B0CL5GVWKM
100950-CowboyChaps-FBA,37.95,0,B07VPR97D6
100950-CowboyChaps1,37.95,397,B07VPR97D6
100980-TheQueenBeltArmband-FBA,19.95,0,B07XLVBQM4
100980-TheQueenMusicBeltArmband,19.95,897,B07XLVBQM4
101000-RedRenaissanceSash,7.95,522,B07YQ8BTCP
101001-MachoManBandana,11.95,645,B07YZV1VQF
102025-InfOrnament-18-Blue,25.95,262,B09LJZZS1V
102025-InfOrnament-18-Blue-FBA,25.95,0,B09LJZZS1V
102025-InfOrnament-18-Gold,25.95,40,B09LJVMCG6
102025-InfOrnament-18-Green,24.95,303,B09LJ3DQ2M
102025-InfOrnament-18-Green-FBA,24.95,0,B09LJ3DQ2M
102025-InfOrnament-18-Pink,25.95,260,B09LJ4NHDR
102025-InfOrnament-18-Pink-FBA,25.95,0,B09LJ4NHDR
102025-InfOrnament-18-Purple,25.95,582,B09LJKZR48
102025-InfOrnament-18-Purple-FBA,25.95,0,B09LJKZR48
102025-InfOrnament-18-Red1,24.95,2645,B0CNS8WSSB
102025-InfOrnament-18-Red1-FBA,24.95,0,B0CNS8WSSB
102025-InfOrnament-18-Silver,25.95,258,B09LJRJTBL
102025-InfOrnament-18-Silver-FBA,25.95,0,B09LJRJTBL
102025-InfOrnament-18-White,25.95,551,B09LJ3V8QB
